label,support,precision,recall,f1
toxic,1524,0.845679012345679,0.8090551181102362,0.8269617706237424
severe_toxic,162,0.4873417721518987,0.47530864197530864,0.48125
obscene,809,0.7935034802784223,0.8454882571075402,0.8186714542190305
threat,49,0.675,0.5510204081632653,0.6067415730337079
insult,771,0.7439490445859872,0.7574578469520103,0.7506426735218509
identity_hate,145,0.6260162601626016,0.5310344827586206,0.5746268656716418
